date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:48	8183/8183	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d7acc35746fd31:0%22	https://gigm.com/webassets/js/wow.min.js	C:/My%20Web%20Sites/travel/gigm.com/webassets/js/wow.min.js	(from https://gigm.com/Default.aspx)
16:30:50	4269/4269	---M-Z	200	added ('OK')	application/x-javascript	etag:%2226a4a633746fd31:0%22	https://gigm.com/js/legacy.js	C:/My%20Web%20Sites/travel/gigm.com/js/legacy.js	(from https://gigm.com/Default.aspx)
16:30:52	13079/13079	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280df3633746fd31:0%22	https://gigm.com/js/DateTime.js	C:/My%20Web%20Sites/travel/gigm.com/js/DateTime.js	(from https://gigm.com/Default.aspx)
16:30:54	4879/4879	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c335a133746fd31:0%22	https://gigm.com/js/jquery.backstretch.min.js	C:/My%20Web%20Sites/travel/gigm.com/js/jquery.backstretch.min.js	(from https://gigm.com/Default.aspx)
16:30:56	51916/51916	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280df3633746fd31:0%22	https://gigm.com/js/jquery.bxslider.js	C:/My%20Web%20Sites/travel/gigm.com/js/jquery.bxslider.js	(from https://gigm.com/Default.aspx)
16:30:58	107603/107603	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280df3633746fd31:0%22	https://gigm.com/js/moment.js	C:/My%20Web%20Sites/travel/gigm.com/js/moment.js	(from https://gigm.com/Default.aspx)
16:30:59	25905/25905	---M-Z	200	added ('OK')	application/x-javascript	etag:%225b6b8933746fd31:0%22	https://gigm.com/js/date.js	C:/My%20Web%20Sites/travel/gigm.com/js/date.js	(from https://gigm.com/Default.aspx)
16:31:01	71174/71174	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217c71132746fd31:0%22	https://gigm.com/dist/select2/select2.full.min.js	C:/My%20Web%20Sites/travel/gigm.com/dist/select2/select2.full.min.js	(from https://gigm.com/Default.aspx)
16:31:02	23811/23811	---M-Z	200	added ('OK')	text/css	etag:%2201c6d31746fd31:0%22	https://gigm.com/dist/css/sweetalert.css	C:/My%20Web%20Sites/travel/gigm.com/dist/css/sweetalert.css	(from https://gigm.com/Default.aspx)
16:31:04	16977/16977	---M-Z	200	added ('OK')	application/x-javascript	etag:%2277dbe731746fd31:0%22	https://gigm.com/dist/js/sweetalert.min.js	C:/My%20Web%20Sites/travel/gigm.com/dist/js/sweetalert.min.js	(from https://gigm.com/Default.aspx)
16:31:05	179/179	---M-Z	200	added ('OK')	application/x-javascript	etag:%225ba45530746fd31:0%22	https://gigm.com/assets/js/main.js	C:/My%20Web%20Sites/travel/gigm.com/assets/js/main.js	(from https://gigm.com/Default.aspx)
16:31:07	15749/15749	---M-Z	200	added ('OK')	application/x-javascript	etag:%22583b5a30746fd31:0%22	https://gigm.com/assets/js/wow.js	C:/My%20Web%20Sites/travel/gigm.com/assets/js/wow.js	(from https://gigm.com/Default.aspx)
16:31:09	33536/33536	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ca59e34746fd31:0%22	https://gigm.com/plugin/components/bootstrap-datepicker/bootstrap-datepicker.min.js	C:/My%20Web%20Sites/travel/gigm.com/plugin/components/bootstrap-datepicker/bootstrap-datepicker.min.js	(from https://gigm.com/Default.aspx)
16:31:10	518/518	---M-Z	200	added ('OK')	application/x-javascript	etag:%2282a6a634746fd31:0%22	https://gigm.com/plugin/components/bootstrap-datepicker/locales/bootstrap-datepicker.en-GB.min.js	C:/My%20Web%20Sites/travel/gigm.com/plugin/components/bootstrap-datepicker/locales/bootstrap-datepicker.en-GB.min.js	(from https://gigm.com/Default.aspx)
16:31:12	51471/51471	---M-Z	200	added ('OK')	application/x-javascript	etag:%2297b8d634746fd31:0%22	https://gigm.com/plugin/components/moment/moment.min.js	C:/My%20Web%20Sites/travel/gigm.com/plugin/components/moment/moment.min.js	(from https://gigm.com/Default.aspx)
16:31:13	20443/20443	---M-Z	200	added ('OK')	application/x-javascript	etag:%228e40d934746fd31:0%22	https://gigm.com/plugin/components/TouchSwipe/jquery.touchSwipe.min.js	C:/My%20Web%20Sites/travel/gigm.com/plugin/components/TouchSwipe/jquery.touchSwipe.min.js	(from https://gigm.com/Default.aspx)
16:31:15	15674/15674	---M-Z	200	added ('OK')	application/x-javascript	etag:%2282e8e034746fd31:0%22	https://gigm.com/plugin/datepicker-in-fullscreen.js	C:/My%20Web%20Sites/travel/gigm.com/plugin/datepicker-in-fullscreen.js	(from https://gigm.com/Default.aspx)
16:31:16	22657/22657	---MC-	200	added ('OK')	text/javascript	date:Wed,%2019%20Sep%202018%2015:31:19%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/My%20Web%20Sites/travel/www.googleadservices.com/pagead/f.txt	(from https://gigm.com/Default.aspx)
16:31:19	45001/45001	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2019%20Sep%202018%2015:31:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/travel/connect.facebook.net/en_US/fbevents.js	(from https://gigm.com/Default.aspx)
